n,t,y
1000,1.9800,0.329620
1000,1.9850,0.325983
1000,1.9900,0.322340
1000,1.9950,0.318694
1000,2.0000,0.315042
1000,2.0050,0.311386
1000,2.0100,0.307726
1000,2.0150,0.304061
1000,2.0200,0.300392
1000,2.0250,0.296719
1000,2.0300,0.293042
1000,2.0350,0.289360
1000,2.0400,0.285675
1000,2.0450,0.281986
1000,2.0500,0.278292
1000,2.0550,0.274596
1000,2.0600,0.270895
1000,2.0650,0.267191
1000,2.0700,0.263483
1000,2.0750,0.259772
1000,2.0800,0.256058
1000,2.0850,0.252340
1000,2.0900,0.248619
1000,2.0950,0.244895
1000,2.1000,0.241168
1000,2.1050,0.237438
1000,2.1100,0.233705
1000,2.1150,0.229969
1000,2.1200,0.226231
1000,2.1250,0.222490
1000,2.1300,0.218746
1000,2.1350,0.215000
1000,2.1400,0.211251
1000,2.1450,0.207500
1000,2.1500,0.203746
1000,2.1550,0.199991
1000,2.1600,0.196233
1000,2.1650,0.192474
1000,2.1700,0.188712
1000,2.1750,0.184949
1000,2.1800,0.181183
1000,2.1850,0.177416
1000,2.1900,0.173648
1000,2.1950,0.169878
1000,2.2000,0.166106
1000,2.2050,0.162333
1000,2.2100,0.158558
1000,2.2150,0.154783
1000,2.2200,0.151006
1000,2.2250,0.147228
1000,2.2300,0.143450
1000,2.2350,0.139670
1000,2.2400,0.135889
1000,2.2450,0.132108
1000,2.2500,0.128326
1000,2.2550,0.124544
1000,2.2600,0.120761
1000,2.2650,0.116977
1000,2.2700,0.113194
1000,2.2750,0.109410
1000,2.2800,0.105625
1000,2.2850,0.101841
1000,2.2900,0.098057
1000,2.2950,0.094273
1000,2.3000,0.090489
1000,2.3050,0.086705
1000,2.3100,0.082921
1000,2.3150,0.079138
1000,2.3200,0.075355
1000,2.3250,0.071573
1000,2.3300,0.067792
1000,2.3350,0.064011
1000,2.3400,0.060231
1000,2.3450,0.056452
1000,2.3500,0.052675
1000,2.3550,0.048898
1000,2.3600,0.045122
1000,2.3650,0.041347
1000,2.3700,0.037574
1000,2.3750,0.033802
1000,2.3800,0.030032
1000,2.3850,0.026263
1000,2.3900,0.022496
1000,2.3950,0.018730
1000,2.4000,0.014966
1000,2.4050,0.011205
1000,2.4100,0.007445
1000,2.4150,0.003687
1000,2.4200,-0.000069
1000,2.4250,-0.003822
1000,2.4300,-0.007573
1000,2.4350,-0.011322
1000,2.4400,-0.015068
1000,2.4450,-0.018812
1000,2.4500,-0.022553
1000,2.4550,-0.026291
1000,2.4600,-0.030027
1000,2.4650,-0.033760
